date,amfi_code,scheme_name,Benchmark,Rolling_30D_Tracking_Difference_pct
2022-01-24,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,
2022-01-25,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,
2022-01-25,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,
2022-01-26,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,
2022-01-26,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,
2022-01-27,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,
2022-01-27,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,
2022-01-28,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,
2022-01-28,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,
2022-01-31,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.33520253035564496
2022-01-31,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.09146206132438994
2022-02-01,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.3483954513087906
2022-02-01,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.10948421132790218
2022-02-02,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.37036327728856316
2022-02-02,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.012061553773883899
2022-02-03,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.2992799490584257
2022-02-03,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,1.4780946811920398e-05
2022-02-04,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.25821392998677944
2022-02-04,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,0.017844738637185407
2022-02-07,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.20267611476924688
2022-02-07,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,0.03469327350497187
2022-02-08,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.24295048715034986
2022-02-08,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,0.10933263920643566
2022-02-09,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.26143134276694324
2022-02-09,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,0.08485242823925504
2022-02-10,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.2438202346356111
2022-02-10,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,0.13304800631373634
2022-02-11,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.2678656455084062
2022-02-11,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,0.15259914357369164
2022-02-14,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.20261973492218663
2022-02-14,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,0.1815277254689677
2022-02-15,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.15423629984615217
2022-02-15,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,0.16417212048956484
2022-02-16,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.1606508380774485
2022-02-16,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,0.15888822970388441
2022-02-17,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.13132111365237548
2022-02-17,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,0.15504078688471146
2022-02-18,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.1635894981645599
2022-02-18,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,0.11213944232181176
2022-02-21,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.13311768418030687
2022-02-21,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,0.05038646392835614
2022-02-22,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.15658924966914345
2022-02-22,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,0.04322174195677635
2022-02-23,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.12078167963902597
2022-02-23,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,0.10097682230613729
2022-02-24,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.09639002289070071
2022-02-24,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,0.12187301682350529
2022-02-25,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.10713838940074494
2022-02-25,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,0.09044077114360616
2022-02-28,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.14038167076677674
2022-02-28,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,0.149741380124457
2022-03-01,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.12828994172110253
2022-03-01,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,0.0946730762255225
2022-03-02,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.07767088686065163
2022-03-02,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,0.05284966998014988
2022-03-03,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.012918395260952027
2022-03-03,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,0.10095925943690687
2022-03-04,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.05439190277143161
2022-03-04,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,0.15533869276827317
2022-03-07,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.07155852617877916
2022-03-07,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,0.09692916229696073
2022-03-08,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.050372329155598715
2022-03-08,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,0.14954648370193704
2022-03-09,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.029647544111294222
2022-03-09,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,0.0956753248486164
2022-03-10,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.015898824966514475
2022-03-10,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,0.10169690766910432
2022-03-11,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.029891281260916443
2022-03-11,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,0.026098508153008144
2022-03-14,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.025463449189968197
2022-03-14,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.006637186758068718
2022-03-15,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.028423567577896918
2022-03-15,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.02243347023675827
2022-03-16,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.020125803175783014
2022-03-16,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.11746437404328199
2022-03-17,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.06746915904817907
2022-03-17,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.10045356294108816
2022-03-18,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.07760730051875794
2022-03-18,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.10994251306138068
2022-03-21,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.08381013222466242
2022-03-21,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.11405282069297844
2022-03-22,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.04219259394219447
2022-03-22,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.2244508542551549
2022-03-23,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.01702054396457986
2022-03-23,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.2556875056970642
2022-03-24,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.015877036911025044
2022-03-24,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.283615106690334
2022-03-25,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.051435632997439695
2022-03-25,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.2955017074050892
2022-03-28,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.012383893064401574
2022-03-28,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.3368261991909986
2022-03-29,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.03329947734515485
2022-03-29,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.30926142708648946
2022-03-30,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.08232790048459004
2022-03-30,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.3350036770183096
2022-03-31,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.13594800853092873
2022-03-31,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.31625359606595516
2022-04-01,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.10451947848420073
2022-04-01,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.26290536309977464
2022-04-04,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.16645588864106534
2022-04-04,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.29239055540139797
2022-04-05,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.11515450036536498
2022-04-05,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.2760127585471421
2022-04-06,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.1603566365869343
2022-04-06,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.27557733395092193
2022-04-07,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.15458964530226402
2022-04-07,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.2475452671560992
2022-04-08,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.18413771608872698
2022-04-08,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.26413280199801714
2022-04-11,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.13873284174567493
2022-04-11,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.23956242922108997
2022-04-12,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.17265155926431816
2022-04-12,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.23118797334982566
2022-04-13,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.18427854458809492
2022-04-13,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.17592670102121954
2022-04-14,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.20748749990765814
2022-04-14,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.18214862956868397
2022-04-15,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.26717733092476526
2022-04-15,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.15116529179667068
2022-04-18,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.1856635866933798
2022-04-18,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.12522704660095343
2022-04-19,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.2182495397833676
2022-04-19,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.15395980248571361
2022-04-20,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.1874900387763286
2022-04-20,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.08763363649243647
2022-04-21,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.1738330752974567
2022-04-21,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.09116505149739607
2022-04-22,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.20090655772690758
2022-04-22,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.015002528330242034
2022-04-25,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.15857896529174167
2022-04-25,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.06150253077534843
2022-04-26,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.10041455090784061
2022-04-26,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.009567734821096888
2022-04-27,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.10888689274759092
2022-04-27,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,0.02859683286444703
2022-04-28,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.04970899745892043
2022-04-28,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.036952425384646125
2022-04-29,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.06105471533310906
2022-04-29,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.028364928052308686
2022-05-02,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.10663483508155233
2022-05-02,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.04887783025775194
2022-05-03,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.11769875441701569
2022-05-03,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.037010616496658454
2022-05-04,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.09630021435204046
2022-05-04,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.02668990885425197
2022-05-05,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.11401971553022176
2022-05-05,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.042574024696486745
2022-05-06,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.15155632137899278
2022-05-06,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.051545220696390295
2022-05-09,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.12930229398170381
2022-05-09,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.033314142469601515
2022-05-10,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.08644850904037142
2022-05-10,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.09060577079184284
2022-05-11,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.03692070651751071
2022-05-11,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.026772652782801977
2022-05-12,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.08870643885647327
2022-05-12,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.06550892605441357
2022-05-13,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.041342154937131406
2022-05-13,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.06428530306518021
2022-05-16,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.13973486167487134
2022-05-16,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,0.00922336232077566
2022-05-17,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.1379151225583671
2022-05-17,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,0.05058830998579215
2022-05-18,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.14969666566341874
2022-05-18,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,0.02683751778849312
2022-05-19,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.1361300441426668
2022-05-19,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.0031825858698031344
2022-05-20,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.09784108814759737
2022-05-20,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.02901807644930606
2022-05-23,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.09616909024284692
2022-05-23,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.01700825321002279
2022-05-24,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.13889630531028838
2022-05-24,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,0.025404282684767427
2022-05-25,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.21283985343901043
2022-05-25,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.00973871170711682
2022-05-26,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.241341899390047
2022-05-26,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,0.017974017236588685
2022-05-27,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.305655781075855
2022-05-27,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.0034894707289034876
2022-05-30,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.25880636694354253
2022-05-30,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.0564652343554406
2022-05-31,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.2909848450491229
2022-05-31,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.057269879339423284
2022-06-01,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.2976832817533659
2022-06-01,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.05392188146212118
2022-06-02,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.26080167642784313
2022-06-02,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.08070463636675888
2022-06-03,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.28280352092376077
2022-06-03,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.07564009734400523
2022-06-06,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.2431663243805508
2022-06-06,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.04822186424477737
2022-06-07,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.17156900158657154
2022-06-07,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.08223995956592327
2022-06-08,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.10359531226912541
2022-06-08,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.1386055980626466
2022-06-09,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.10602789043725616
2022-06-09,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.081600518179894
2022-06-10,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.11240654320499885
2022-06-10,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.11072862074504161
2022-06-13,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.11460479218520225
2022-06-13,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.09642669539264626
2022-06-14,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.07495790639878339
2022-06-14,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.10535916482552847
2022-06-15,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.08114273381182424
2022-06-15,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.0779232656445461
2022-06-16,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.041979154279708775
2022-06-16,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.07017298195137782
2022-06-17,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.099282186013722
2022-06-17,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.08165205806436093
2022-06-20,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.061611650810745225
2022-06-20,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.0730916323430449
2022-06-21,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.038236895851471164
2022-06-21,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.04190010893014221
2022-06-22,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.021426548201641065
2022-06-22,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.13563263556854185
2022-06-23,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.0029060797981135997
2022-06-23,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.1137864354691968
2022-06-24,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.007677982955630232
2022-06-24,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.11419210672428423
2022-06-27,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.054014938854696215
2022-06-27,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.14671007266578032
2022-06-28,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.013228477956587215
2022-06-28,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.16002901129381666
2022-06-29,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.058191013229687
2022-06-29,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.11148064568970995
2022-06-30,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.0680269655057993
2022-06-30,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.10972012117631881
2022-07-01,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.11228168012344904
2022-07-01,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.04382970761862485
2022-07-04,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.18736706014864732
2022-07-04,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.04394036894616445
2022-07-05,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.17461217950940763
2022-07-05,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.03716527960683854
2022-07-06,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.10280599259785232
2022-07-06,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.04145534509036504
2022-07-07,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.017935380967136018
2022-07-07,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.06717618674499122
2022-07-08,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.02339605325648068
2022-07-08,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.04808786322712496
2022-07-11,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.019883056101682357
2022-07-11,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,0.02216566196963865
2022-07-12,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.035299325892799535
2022-07-12,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.025884785602365477
2022-07-13,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.0312227165442532
2022-07-13,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.015931740246676318
2022-07-14,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.030349225942887616
2022-07-14,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.02478714776304939
2022-07-15,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.08385548739773559
2022-07-15,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,0.0010143758562841665
2022-07-18,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.04190037759550661
2022-07-18,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.029750652658194023
2022-07-19,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.008150808225571016
2022-07-19,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,-0.0429329030980774
2022-07-20,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,0.010845288911659479
2022-07-20,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY100,0.01811263880202881
2022-07-21,100025,HDFC Short Term Debt Fund - Regular - Growth,NIFTY50,-0.03786739920421482
